Species_No,Petal_width,Comp2,Petal_length,Comp1,Sepal_width,Sepal_length,Comp2,Comp3,Species_name,Obs
3,1.9,1.33,5.1,5.3,2.7,5.8,5.8,4.143333333, Verginica,
3,2.1,1.47,5.9,6.1,3,7.1,7.1,4.89, Verginica,
3,1.8,1.26,5.6,5.8,2.9,6.3,6.3,4.453333333, Verginica,
3,2.2,1.54,5.8,6,3,6.5,6.5,4.68, Verginica,Jhon
3,2.1,1.47,6.6,6.8,3,7.6,7.6,5.29, Verginica,Jhon
3,1.7,1.19,4.5,4.7,2.5,4.9,4.9,3.596666667, Verginica,Jhon
3,1.8,1.26,6.3,6.5,2.9,7.3,7.3,5.02, Verginica,Jhon
3,1.8,1.26,5.8,6,2.5,6.7,6.7,4.653333333, Verginica,Jhon
3,0.1,0.07,20.5,20.7,0,8.7,8.7,9.823333333, Verginica,Jhon
3,2.5,1.75,6.1,6.3,3.6,7.2,7.2,5.083333333, Verginica,James
3,2,1.4,5.1,5.3,3.2,6.5,6.5,4.4, Verginica,James
3,1.9,1.33,5.3,5.5,2.7,6.4,6.4,4.41, Verginica,James
3,2.1,1.47,5.5,5.7,3,6.8,6.8,4.656666667, Verginica,James
3,2,1.4,5,5.2,2.5,5.7,5.7,4.1, Verginica,James
3,2.4,1.68,5.1,5.3,2.8,5.8,5.8,4.26, Verginica,James
3,2.3,1.61,5.3,5.5,3.2,6.4,6.4,4.503333333, Verginica,James
3,1.8,1.26,5.5,5.7,3,6.5,6.5,4.486666667, Verginica,James
3,2.2,1.54,6.7,6.9,3.8,7.7,7.7,5.38, Verginica,James
3,2.3,1.61,6.9,7.1,2.6,7.7,7.7,5.47, Verginica,James
3,1.5,1.05,5,5.2,3.4,6,6,4.083333333, Verginica,James
3,2.3,1.61,5.7,5.9,3.2,6.9,6.9,4.803333333, Verginica,James
3,2,1.4,4.9,5.1,2.8,5.6,5.6,4.033333333, Verginica,James
3,2,1.4,6.7,6.9,2.8,7.7,7.7,5.333333333, Verginica,James
3,0,0,0,0.2,0,0,0,0.066666667, Verginica,James
3,1.8,1.26,4.9,5.1,2.7,6.3,6.3,4.22, Verginica,Peter
3,2.1,1.47,5.7,5.9,3.3,6.7,6.7,4.69, Verginica,Peter
3,1.8,1.26,6,6.2,3.2,7.2,7.2,4.886666667, Verginica,Peter
3,1.8,-1,4.8,5,2.8,6.2,6.2,3.4, Verginica,Peter
3,1.8,1.26,4.9,5.1,3,6.1,6.1,4.153333333, Verginica,Peter
3,2.1,1.47,5.6,5.8,2.8,6.4,6.4,4.556666667, Verginica,Peter
3,1.6,1.12,5.8,6,3,7.2,7.2,4.773333333, Verginica,James
3,1.9,1.33,6.1,6.3,2.8,7.4,7.4,5.01, Verginica,James
3,, ,,0.2,,,,,,James
3,2,1.4,6.4,6.6,3.8,7.9,7.9,5.3, Verginica,James
3,2.2,1.54,5.6,5.8,2.8,6.4,6.4,4.58, Verginica,James
3,1.5,1.05,5.1,5.3,2.8,0.1,0.1,2.15, Verginica,James
3,1.4,0.98,5.6,5.8,2.6,6.1,6.1,4.293333333, Verginica,James
3,,34,6.1,6.3,3,7.7,7.7,5.203333333, Verginica,Peter
3,,34,5.6,5.8,3.4,6.3,6.3,4.593333333, Verginica,Peter
3,,1.26,5.5,5.7,3.1,6.4,6.4,4.453333333, Verginica,Peter
3,,1.26,4.8,5,3,6,6,4.086666667, Verginica,Peter
3,,1.47,10.4,10.6,3.1,6.9,6.9,6.323333333, Verginica,James
3,2.4,1.68,5.6,5.8,3.1,6.7,6.7,4.726666667, Verginica,James
3,2.3,1.61,5.1,5.3,3.1,6.9,6.9,4.603333333, Verginica,James
3,1.9,1.33,5.1,5.3,2.7,-5,-5,0.543333333, Verginica,James
3,2.3,1.61,5.9,6.1,3.2,6.8,,2.57, Verginica,James
3,2.5,1.75,5.7,5.9,3.3,6.7,,2.55, Verginica,
3,2.3,1.61,5.2,5.4,3,6.7,#¡VALOR!,2.336666667, Verginica,Peter
3,1.9,1.33,5,5.2,2.5,6.3,6.3,4.276666667, Verginica,Peter
3,2, ,5.2,5.4,3,6.5,6.5,#¡VALOR!, Verginica,Peter
3,2.3,1.61,5.4,5.6,3.4,6.2,6.2,4.47, Verginica,Peter
3,1.8,1.26,5.1,,3,5.9,5.9,2.386666667, Verginica,Peter
